 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	12	 inf	   15.113	   50.401	   0.650	  51.068	 20	314	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	12	 inf	   15.113	   50.551	   0.654	  51.222	 20	314	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	12	 inf	   15.113	   26.523	   0.654	  27.193	 20	314	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	1	12	 inf	   15.113	   26.546	   0.655	  27.218	 20	314	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	6	 inf	   17.244	   7.345	   0.651	  8.012	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	6	 inf	   17.244	   7.196	   0.648	  7.858	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	6	 inf	   17.244	   4.910	   0.653	  5.576	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	6	 inf	   17.244	   4.944	   0.650	  5.608	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	12	 inf	   17.244	   6.976	   0.650	  7.639	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	12	 inf	   17.244	   7.081	   0.656	  7.751	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	12	 inf	   17.244	   4.852	   0.653	  5.519	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 1	2	12	 inf	   17.244	   4.665	   0.651	  5.329	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	6	 inf	   17.243	   7.185	   0.650	  7.848	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	6	 inf	   17.243	   7.163	   0.650	  7.826	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	6	 inf	   17.243	   4.908	   0.652	  5.573	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	6	 inf	   17.243	   4.940	   0.655	  5.609	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	12	 inf	   17.243	   7.177	   0.661	  7.861	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	12	 inf	   17.243	   7.150	   0.652	  7.815	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	12	 inf	   17.243	   4.910	   0.658	  5.581	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	0	12	 inf	   17.243	   4.945	   0.649	  5.607	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	6	 inf	   17.392	   7.180	   0.651	  7.844	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	6	 inf	   17.392	   7.149	   0.658	  7.821	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	6	 inf	   17.392	   4.916	   0.652	  5.581	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	6	 inf	   17.392	   4.937	   0.650	  5.601	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	12	 inf	   17.392	   7.185	   0.653	  7.851	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	12	 inf	   17.392	   7.156	   0.652	  7.822	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	12	 inf	   17.392	   4.771	   0.648	  5.432	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	1	12	 inf	   17.392	   4.868	   0.657	  5.539	 2	358	3	1	1	0	0
