 Scan The fastest combinaison 64

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 4

| Sub-Intervals| 		| -1.09 -- -0.454 -- -0.285 -- -0.138 -- 0 |
| List M0 |   		          | 660 -- 667 -- 675 -- 676 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	6	 inf	   23.875	   194.241	   187.716	  382.145	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   345.608	   187.040	  532.834	 1	2141	9	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   195.775	   186.938	  382.900	 1	2141	9	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   347.097	   186.623	  533.907	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   196.213	   185.556	  381.958	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   344.734	   186.661	  531.582	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   194.756	   186.792	  381.735	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   343.991	   185.822	  530.000	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   197.929	   184.111	  382.228	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	12	 inf	   23.876	   343.085	   185.136	  528.408	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	12	 inf	   23.876	   194.793	   185.428	  380.408	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	12	 inf	   23.876	   343.178	   184.975	  528.341	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	12	 inf	   23.876	   197.724	   185.764	  383.675	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	6	 inf	   23.926	   347.823	   185.831	  533.842	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	6	 inf	   23.926	   195.474	   186.197	  381.858	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	6	 inf	   23.926	   344.973	   184.556	  529.718	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	6	 inf	   23.926	   197.481	   186.925	  384.593	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	12	 inf	   23.926	   348.249	   185.877	  534.313	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	12	 inf	   23.926	   196.078	   186.809	  383.076	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	12	 inf	   23.926	   349.968	   187.561	  537.716	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	1	12	 inf	   23.926	   197.744	   188.081	  386.014	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	6	 inf	   23.875	   300.952	   187.528	  488.666	 1	2141	6	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	6	 inf	   23.875	   185.110	   188.010	  373.308	 1	2141	6	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	6	 inf	   23.875	   353.550	   188.180	  541.917	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	6	 inf	   23.875	   199.749	   187.463	  387.399	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	12	 inf	   23.875	   350.640	   188.639	  539.466	 1	2141	9	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	12	 inf	   23.875	   197.846	   188.091	  386.124	 1	2141	9	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	12	 inf	   23.875	   353.053	   187.810	  541.052	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	2	12	 inf	   23.875	   198.622	   189.384	  388.194	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	6	 inf	   50.615	   104.892	   189.500	  294.599	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	6	 inf	   50.615	   81.820	   188.672	  270.698	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	6	 inf	   50.615	   68.410	   188.476	  257.095	 1	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	6	 inf	   50.615	   58.644	   188.724	  247.577	 1	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	12	 inf	   50.615	   102.890	   188.242	  291.340	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	12	 inf	   50.615	   83.211	   190.099	  273.518	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	12	 inf	   50.615	   133.205	   189.356	  322.809	 14	2560	4	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	0	12	 inf	   50.615	   122.678	   192.612	  315.496	 14	2560	4	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	6	 inf	   50.615	   103.375	   191.393	  294.975	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	6	 inf	   50.615	   82.256	   192.125	  274.681	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	6	 inf	   50.615	   105.157	   191.575	  296.941	 2	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	6	 inf	   50.615	   81.431	   192.303	  273.941	 2	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	12	 inf	   50.615	   129.744	   193.338	  323.289	 2	2560	0	0	0	0	0
