MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	15.590663	16.732963	93.173355	N/A	1811	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1989	-1.533158	0.000000	3	-4.048517e-04	-7.758208e-01	inf	48.422859	0.000000	0.000014	1155.844028	1156.957141	99.903790	22	1808	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1708	-2.555264	0.000000	5	-2.644368e-03	-7.758208e-01	inf	41.690712	0.000000	0.000068	884.173250	885.265905	99.876573	22	1708	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1808	-2.555264	0.000000	5	-4.392795e-04	-7.758208e-01	inf	46.311581	0.000000	0.000023	988.317445	989.422801	99.888283	22	1763	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1908	-2.555264	0.000000	5	-9.089653e-05	-7.758208e-01	inf	48.184639	0.000000	0.000015	1107.240573	1108.358572	99.899130	22	1789	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1689	-0.511053	0.000000	1	-8.295933e-05	-5.109042e-01	inf	17.833923	0.000000	0.016467	382.359369	383.385334	99.732393	4	1489	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1389	-1.533158	0.000000	3	-2.847323e-02	-6.907206e-01	inf	21.303055	0.000000	0.007408	306.332121	307.320396	99.678422	4	1389	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1489	-1.533158	0.000000	3	-2.322546e-02	-7.089233e-01	inf	23.830973	0.000000	0.004139	357.758385	358.777349	99.715990	4	1489	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1589	-1.533158	0.000000	3	-1.763275e-02	-7.338125e-01	inf	27.248419	0.000000	0.001884	357.989378	359.201500	99.662551	4	1589	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1689	-1.533158	0.000000	3	-1.190001e-02	-7.554316e-01	inf	32.665470	0.000000	0.000541	371.693216	372.782794	99.707718	4	1689	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1789	-1.533158	0.000000	3	-3.202677e-03	-7.728002e-01	inf	44.873329	0.000000	0.000033	392.263397	393.373281	99.717855	4	1789	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1889	-1.533158	0.000000	3	-8.295932e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	565.013618	566.130881	99.802649	5	1811	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1989	-1.533158	0.000000	3	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	451.597802	452.776312	99.739715	4	1811	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1711	-2.555264	0.000000	5	-1.313781e-02	-7.608149e-01	inf	34.738480	0.000000	0.000336	380.940152	382.032636	99.714034	4	1711	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1811	-2.555264	0.000000	5	-1.995907e-04	-7.758208e-01	inf	48.400951	0.000000	0.000014	2797.182241	2798.296955	99.960165	22	1810	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	1911	-2.555264	0.000000	5	-8.295932e-05	-7.758208e-01	inf	48.399632	0.000000	0.000014	576.304943	577.425535	99.805933	5	1811	0
