	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	500	-1.520679	0.000000	5	-1.067973e-03	-7.758603e-01	inf	47.742470	0.000000	0.000017	18.497451	18.569583	99.611559	22	406	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	5.686078	5.752519	98.845013	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.140598	7.206936	99.079525	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	8.051743	8.118408	99.178842	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	300	-0.912407	0.000000	3	-3.061232e-02	-6.926355e-01	inf	20.726185	0.000000	0.008460	5.554141	5.622763	98.779570	4	300	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	400	-0.912407	0.000000	3	-5.115988e-03	-7.646061e-01	inf	42.977245	0.000000	0.000050	6.818081	6.928432	98.407268	4	400	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	500	-0.912407	0.000000	3	-1.182719e-03	-7.758603e-01	inf	47.737309	0.000000	0.000017	5.723414	5.795407	98.757760	3	406	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	300	-1.520679	0.000000	5	-3.494416e-02	-6.952974e-01	inf	20.843824	0.000000	0.008234	5.469921	5.541447	98.709253	4	300	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	400	-1.520679	0.000000	5	-5.615216e-03	-7.651356e-01	inf	43.746601	0.000000	0.000042	10.167938	10.256350	99.137977	5	400	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	500	-1.520679	0.000000	5	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	5.668553	5.740872	98.740282	3	406	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568505	0.000000	0.069687	10.834338	10.900804	99.390266	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	18.819097	18.885435	99.648734	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	16.575472	16.641705	99.602006	20	239	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	300	-0.912407	0.000000	3	-1.205611e-01	-7.566305e-01	inf	25.800920	0.000000	0.002630	9.805320	9.873733	99.307121	22	299	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	400	-0.912407	0.000000	3	-7.174451e-04	-7.758603e-01	inf	48.004200	0.000000	0.000016	13.096242	13.168098	99.454317	20	400	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	500	-0.912407	0.000000	3	-1.182717e-03	-7.758603e-01	inf	47.737293	0.000000	0.000017	19.011445	19.083774	99.620993	22	406	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	300	-1.520679	0.000000	5	-6.046139e-02	-7.758603e-01	inf	25.009527	0.000000	0.003155	2.091838	2.160642	96.815564	5	300	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	400	-1.520679	0.000000	5	-4.015170e-03	-7.758603e-01	inf	47.802231	0.000000	0.000017	14.885074	14.956698	99.521124	22	398	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	500	-1.520679	0.000000	5	-1.181508e-03	-7.758603e-01	inf	47.736862	0.000000	0.000017	17.576938	17.649256	99.590250	22	406	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	5.328698	5.395002	98.771011	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	5.968658	6.034761	98.904630	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	6.342484	6.408619	98.968031	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	300	-0.912407	0.000000	3	-1.183688e-03	-7.758603e-01	inf	17.289116	0.000000	0.018668	37.864514	37.932193	99.821579	22	277	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	400	-0.912407	0.000000	3	-1.182719e-03	-7.758603e-01	inf	34.677071	0.000000	0.000341	49.682877	49.754359	99.856330	22	392	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	500	-0.912407	0.000000	3	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	8.166468	8.238424	99.126582	4	406	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	300	-1.520679	0.000000	5	-2.489259e-03	-7.758603e-01	inf	16.817598	0.000000	0.020808	38.089138	38.156960	99.822255	22	280	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	400	-1.520679	0.000000	5	-1.183026e-03	-7.758603e-01	inf	36.502609	0.000000	0.000224	49.646166	49.717702	99.856116	22	396	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	500	-1.520679	0.000000	5	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	8.147083	8.219030	99.124628	4	406	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	300	-0.304136	0.000000	1	-1.182711e-03	-3.028506e-01	inf	11.568511	0.000000	0.069687	10.863428	10.929840	99.392377	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	13.821057	13.887160	99.524001	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	17.730577	17.796742	99.628219	22	239	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	300	-0.912407	0.000000	3	-1.189642e-01	-7.503039e-01	inf	25.780285	0.000000	0.002642	10.410349	10.478659	99.348103	22	299	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	400	-0.912407	0.000000	3	-2.563245e-03	-7.758603e-01	inf	47.968273	0.000000	0.000016	14.473913	14.545739	99.506206	22	399	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	500	-0.912407	0.000000	3	-1.182691e-03	-7.758603e-01	inf	47.737232	0.000000	0.000017	18.087845	18.160189	99.601635	22	406	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	300	-1.520679	0.000000	5	-3.929655e-02	-7.758451e-01	inf	24.532633	0.000000	0.003522	1.880138	1.948357	96.498631	5	300	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	400	-1.520679	0.000000	5	-2.985792e-03	-7.758603e-01	inf	47.447636	0.000000	0.000018	13.440832	13.512400	99.470353	22	397	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	500	-1.520679	0.000000	5	-1.174542e-03	-7.758603e-01	inf	47.736534	0.000000	0.000017	17.556942	17.628791	99.592433	22	406	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	5.429492	5.495941	98.790941	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.077155	7.143279	99.074319	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.004772	7.070982	99.063637	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	300	-0.912407	0.000000	3	-2.784711e-02	-6.915334e-01	inf	20.672987	0.000000	0.008564	5.429174	5.497723	98.753136	4	300	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	400	-0.912407	0.000000	3	-4.859414e-03	-7.647975e-01	inf	43.065025	0.000000	0.000049	7.111559	7.183268	99.001723	4	400	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	500	-0.912407	0.000000	3	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	8.125531	8.197407	99.123188	4	406	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	300	-1.520679	0.000000	5	-3.021537e-02	-6.925703e-01	inf	20.714523	0.000000	0.008483	5.440489	5.509004	98.756308	4	300	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	400	-1.520679	0.000000	5	-5.098801e-03	-7.646867e-01	inf	42.991600	0.000000	0.000050	6.755132	6.826983	98.947544	4	400	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	50	0	500	-1.520679	0.000000	5	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	10.860964	10.932978	99.341315	5	406	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	300	-0.304136	0.000000	1	-1.181533e-03	-3.028520e-01	inf	11.568569	0.000000	0.069686	10.837015	10.903407	99.391090	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568509	0.000000	0.069687	14.970177	15.036290	99.560309	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	17.564279	17.630418	99.624857	22	239	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	300	-0.912407	0.000000	3	-7.717451e-02	-6.886773e-01	inf	25.298685	0.000000	0.002952	2.844423	2.912805	97.652357	7	300	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	400	-0.912407	0.000000	3	-2.697075e-03	-7.758571e-01	inf	47.702011	0.000000	0.000017	13.707189	13.778800	99.480280	22	398	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	500	-0.912407	0.000000	3	-1.181115e-03	-7.758603e-01	inf	47.736809	0.000000	0.000017	17.622810	17.694695	99.593749	22	406	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	300	-1.520679	0.000000	5	-4.078982e-02	-7.755171e-01	inf	24.506977	0.000000	0.003542	3.144966	3.213286	97.873834	7	300	3
